IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
67.226.221.78,4,4,0,168.7,10
204.110.220.54,4,4,0,164.65,10
67.226.221.251,4,4,0,166.37,10
67.226.221.229,4,4,0,166.68,10
204.110.220.85,4,4,0,167.31,10
204.110.220.1,4,4,0,168.22,10
67.226.221.8,4,4,0,168.54,10
67.226.221.8,4,4,0,169.57,10
67.226.221.99,4,4,0,169.62,10
204.110.220.253,4,4,0,170.3,10
