IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
104.27.119.73,4,4,0.00,151.83,30.62
172.67.102.225,4,4,0.00,151.10,28.89
104.19.82.73,4,4,0.00,145.65,0.00
1.0.0.42,4,4,0.00,150.71,0.00
141.101.122.39,4,4,0.00,152.01,0.00
104.24.93.69,4,4,0.00,152.07,0.00
104.25.106.37,4,4,0.00,152.63,0.00
104.20.118.238,4,4,0.00,152.65,0.00
104.24.30.1,4,4,0.00,152.85,0.00
104.19.116.37,4,4,0.00,152.96,0.00
