IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
104.20.28.179,4,4,0.00,180.04,32.38
172.67.74.79,4,4,0.00,179.90,31.40
104.20.27.65,4,4,0.00,179.67,30.00
104.26.0.219,4,4,0.00,173.78,29.92
104.20.29.137,4,4,0.00,177.97,29.90
104.20.18.11,4,4,0.00,177.97,29.57
104.26.15.1,4,4,0.00,178.40,29.52
172.67.78.171,4,4,0.00,178.66,28.67
172.67.79.172,4,4,0.00,179.57,28.49
104.20.21.194,4,4,0.00,179.00,28.06
