IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
172.67.239.99,4,4,0,153.15,32.81
104.24.178.18,4,4,0,154.91,32.06
104.27.34.76,4,4,0,155.79,32.01
172.67.218.65,4,4,0,155.94,31.45
104.25.158.250,4,4,0,157.22,30.89
104.25.122.127,4,4,0,153.28,30.72
104.21.12.26,4,4,0,157.13,30.71
172.67.201.189,4,4,0,152.94,29.91
104.21.23.43,4,4,0,148.45,29.44
104.21.19.131,4,4,0,149.67,11.6
