IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
172.67.224.41,4,4,0,161.39,33.72
104.27.105.115,4,4,0,160.84,32.23
104.24.246.44,4,4,0,159.78,31.83
104.27.50.232,4,4,0,160.1,31.67
172.67.161.42,4,4,0,159.07,31.47
104.25.224.154,4,4,0,159.2,30.15
104.24.1.225,4,4,0,156.81,29.15
172.67.136.86,4,4,0,162.02,28.68
104.27.37.129,4,4,0,159.04,28.48
172.67.131.132,4,4,0,162.98,10
